SCORES_TXT_BEGIN_0 0 47 9 BLEU
6 6 3 5 2 4 1 3 6 
5 6 3 5 2 4 1 3 6 
5 6 3 5 2 4 1 3 6 
4 6 3 5 2 4 1 3 6 
6 7 2 6 1 5 0 4 6 
5 7 2 6 1 5 0 4 6 
6 6 3 5 2 4 1 3 6 
5 6 3 5 2 4 1 3 6 
4 7 3 6 2 5 1 4 6 
4 7 3 6 2 5 1 4 6 
6 7 2 6 1 5 0 4 6 
5 7 2 6 1 5 0 4 6 
5 6 2 5 1 4 0 3 6 
6 6 3 5 1 4 0 3 6 
6 10 2 9 1 8 0 7 6 
5 10 2 9 1 8 0 7 6 
6 10 2 9 1 8 0 7 6 
5 10 2 9 1 8 0 7 6 
4 6 2 5 1 4 0 3 6 
6 9 2 8 1 7 0 6 6 
5 9 2 8 1 7 0 6 6 
6 8 3 7 2 6 1 5 6 
5 8 3 7 2 6 1 5 6 
